end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,1005
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,1390
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,1217
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,204
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,172
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,141
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,4459
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1883
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,2983
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,2147
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,609
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,2516
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,1633
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,566
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,13829
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,3892
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,826
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,300
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,712
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,369
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,4413
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,2501
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,949
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,1614
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,2995
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,1781
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,3928
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,2245
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,10662
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,4341
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,2755
