end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,6352
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,24428
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,10549
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,4543
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,4242
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,7568
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,5056
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,2232
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,2880
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,5621
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,7086
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,3937
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,3511
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,4418
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,5642
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,15480
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,11798
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,4374
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,4712
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,9470
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,4303
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,3895
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,18936
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,9504
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,4072
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,4765
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,3713
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,5001
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,6231
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,5610
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,7487
