end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,27
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,40
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,8
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,14
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,8
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,7
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,12
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,13
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,6
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,15
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,4
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,7
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,5
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,10
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,4
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,9
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,17
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,15
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,5
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,13
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,8
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,9
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,15
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,11
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,13
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,4
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,9
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,40
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,16
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,8
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,12
