end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,4354
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,1481
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,1790
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,1753
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,1182
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,751
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,1397
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,632
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,446
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,591
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,693
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,623
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,1753
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,921
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,604
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,1328
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,1462
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,1678
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,1563
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,841
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,1269
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,3492
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,3089
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,2490
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,1008
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,1156
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,2422
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,1311
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,844
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,3289
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,2012
