end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,496
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,467
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,1047
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,401
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,226
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,2104
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,824
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,472
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,274
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,229
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,243
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,255
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,286
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,787
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,1133
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,628
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,2444
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,9740
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,4520
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,1109
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,424
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,381
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,358
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,304
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,361
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,300
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,281
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,277
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,326
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,516
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,339
