end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,524
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,339
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,326
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,528
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,2801
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,1237
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,641
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,291
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,441
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,836
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,333
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,165
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,374
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,182
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,249
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,302
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,205
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,209
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,197
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,2032
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,736
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,387
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,558
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,1321
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,1645
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,1198
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,903
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,467
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,432
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,451
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,482
