Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
USA,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,8,adan y eva,Paulo Londra,single,argentine hip hop,11427104,FALSE,Adan y Eva,05/11/2018,1,1,0.767,0.709,1,-4.47,1,0.336,0.323,0.00E+00,0.0676,0.72,171.993,258639,4,hip hop,740,1,191,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5xhJmd0I15jFcEdqxfCzKk,581.2,it wont kill ya,The Chainsmokers - Louane,album,dance pop,16931568,FALSE,Memories...Do Not Open,07/04/2017,7,12,0.572,0.53,6,-8.521,0,0.0654,0.0647,0.000169,0.127,0.12,170.138,217613,4,pop,1314,1,55,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,100.25,hymn,Kesha,single,dance pop,5910376,TRUE,Hymn,03/08/2017,1,1,0.488,0.538,6,-4.974,1,0.076,0.147,0,0.305,0.38,67.037,205600,4,pop,1199,1,100,0,0,english speaking and nordic
USA,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,56,arrows,Foo Fighters,album,alternative metal,8092392,FALSE,Concrete and Gold,15/09/2017,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187,4,metal,1156,1,131,0,0,english speaking and nordic
USA,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,62.4,talking to myself,Linkin Park,album,alternative metal,17132813,FALSE,One More Light,19/05/2017,3,10,0.593,0.712,2,-6.325,0,0.0286,0.00184,0,0.128,0.473,124.013,231307,4,metal,1272,1,123,0,0,english speaking and nordic
USA,https://open.spotify.com/track/5sCwso3aURYAdieWEFI1nE,948.7,icy,Logic - Gucci Mane,album,conscious hip hop,5004777,TRUE,Confessions of a Dangerous Mind,10/05/2019,9,16,0.827,0.522,7,-4.866,1,0.0845,0.163,0.00000119,0.109,0.477,151.99,265267,4,hip hop,554,1,13,0,1,english speaking and nordic
USA,https://open.spotify.com/track/6MR5IBSNfDmiwnrlQpVw4w,317.8,club paradise,Drake,album,canadian hip hop,50593376,TRUE,Care Package,02/08/2019,12,17,0.338,0.729,6,-6.419,0,0.102,0.758,0.0000324,0.18,0.543,184.174,283816,4,hip hop,470,1,29,0,1,english speaking and nordic
USA,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,524,versace on the floor,Bruno Mars,album,dance pop,27355260,FALSE,24K Magic,17/11/2016,5,9,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,261240,4,pop,1449,1,154,0,0,english speaking and nordic
USA,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd,3623.8,sixteen,Ellie Goulding,single,dance pop,8604850,FALSE,Sixteen,12/04/2019,1,1,0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919,201072,4,pop,582,1,59,0,0,english speaking and nordic
USA,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug,10629.95,betrayed,Lil Xan,album,emo rap,2094628,TRUE,TOTAL XANARCHY,06/04/2018,12,16,0.821,0.434,10,-9.194,0,0.118,0.434,0.00E+00,0.128,0.241,120.012,187173,4,rap,953,1,62,0,0,english speaking and nordic
USA,https://open.spotify.com/track/4lTiuD1DwBKo4L7wqMkD7C,2960.85,japan,Famous Dex,single,chicago rap,2039736,TRUE,JAPAN,16/03/2018,1,1,0.733,0.678,6,-7.771,1,0.439,0.121,0,0.345,0.841,175.984,144149,4,rap,974,1,22,0,1,english speaking and nordic
USA,https://open.spotify.com/track/2b7rt5gCEy2p2zTp656s4U,372.8,how,Lil Baby,album,atl hip hop,5372519,TRUE,My Turn,28/02/2020,3,20,0.582,0.488,2,-8.208,1,0.455,0.00168,0.00E+00,0.0941,0.309,80.322,182000,4,hip hop,260,1,31,0,1,english speaking and nordic
USA,https://open.spotify.com/track/7BKUWh5sdtdS17crohRe4L,4001.65,black spiderman,Logic - Damian Lemar Hudson,album,conscious hip hop,5004777,TRUE,Everybody,05/05/2017,12,13,0.611,0.867,1,-5.298,1,0.0896,0.11,0.000105,0.346,0.336,140.032,331267,4,hip hop,1286,1,33,0,1,english speaking and nordic
USA,https://open.spotify.com/track/18O00Y7yrkJ0pRXm1n21Og,126.65,eleven,Khalid - Summer Walker,single,alternative r&b,12829933,FALSE,Eleven (feat. Summer Walker),01/05/2020,1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,r&b/soul,197,1,84,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx,4477.55,to die for,Sam Smith,single,pop,14303985,FALSE,To Die For,14/02/2020,1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66E-06,0.098,0.307,171.649,193795,4,pop,274,1,24,0,1,english speaking and nordic
USA,https://open.spotify.com/track/2RCp9QBnFSxdKe8RD4xF8s,186.75,momentz,Gorillaz - De La Soul,album,alternative hip hop,6111598,TRUE,Humanz (Deluxe),28/04/2017,5,26,0.781,0.98,0,-5.077,1,0.285,0.0549,0.00000274,0.597,0.487,140.235,196907,4,hip hop,1293,1,82,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0usLRFLmYXYahKNgXxsuJc,69.6,trivia èµ· : just dance,BTS,album,k-pop,24755789,FALSE,Love Yourself çµ 'Answer',24/08/2018,2,26,0.723,0.906,1,-4.778,0,0.279,0.0907,0,0.0771,0.398,125.019,225221,4,k-pop,813,1,118,0,0,english speaking and nordic
USA,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,2025.15,juju on that beat,Zay Hilfigerrr - Zayion McCall,single,n-a,62634,FALSE,Juju on That Beat (TZ Anthem),30/09/2016,1,1,0.807,0.887,1,-3.892,1,0.275,0.00381,0,0.391,0.78,160.517,144244,4,else,1497,1,56,0,0,english speaking and nordic
USA,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67,1867.1,graveyard,Halsey,album,dance pop,12622150,FALSE,Manic,17/01/2020,3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,0.0000448,0.181,0.187,92.043,181806,4,pop,302,1,68,0,0,english speaking and nordic
USA,https://open.spotify.com/track/0ORgAzmFh8N97SseJvmqgC,110.5,love it if we made it,The 1975,single,modern alternative rock,4472646,TRUE,Love It If We Made It,19/07/2018,1,1,0.479,0.727,4,-5.369,1,0.0357,0.000718,0.0000197,0.0644,0.0577,180.09,253249,4,rock,849,1,71,0,0,english speaking and nordic
USA,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW,4304.3,physical,Dua Lipa,album,dance pop,20575026,FALSE,Future Nostalgia,27/03/2020,4,11,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,4,pop,232,1,27,0,1,english speaking and nordic
