track,artist
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras"
I'm Good (Blue),"David Guetta, Bebe Rexha"
As It Was,Harry Styles
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo"
La Bachata,Manuel Turizo
Me Porto Bonito,"Bad Bunny, Chencho Corleone"
Tití Me Preguntó,Bad Bunny
Under The Influence,Chris Brown
I Ain't Worried,OneRepublic
Bad Habit,Steve Lacy
DESPECHÁ,ROSALÍA
Efecto,Bad Bunny
CUFF IT,Beyoncé
Shut Down,BLACKPINK
Another Love,Tom Odell
Ojitos Lindos,"Bad Bunny, Bomba Estéreo"
SNAP,Rosa Linn
Super Freaky Girl,Nicki Minaj
Glimpse of Us,Joji
Romantic Homicide,d4vd
Sweater Weather,The Neighbourhood
Heat Waves,Glass Animals
Until I Found You,Stephen Sanchez
Neverita,Bad Bunny
Pink Venom,BLACKPINK
Moscow Mule,Bad Bunny
Die For You,The Weeknd
Calm Down (with Selena Gomez),"Rema, Selena Gomez"
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
Bones,Imagine Dragons
I Wanna Be Yours,Arctic Monkeys
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS"
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
PROVENZA,KAROL G
Late Night Talking,Harry Styles
Doja,Central Cee
Running Up That Hill (A Deal With God),Kate Bush
LOKERA,"Rauw Alejandro, Lyanno, Brray"
Feliz Cumpleaños Ferxxo,Feid
Sunroof,"Nicky Youre, dazy"
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat"
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU"
505,Arctic Monkeys
Blinding Lights,The Weeknd
Vista Al Mar,Quevedo
About Damn Time,Lizzo
BABY OTAKU,"Pablo Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C"
No Se Va - En Vivo,Grupo Frontera
Dandelions,Ruth B.
I Was Never There,"The Weeknd, Gesaffelstein"
