end,start,tweet_count
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,338
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,309
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,216
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,206
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,366
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,323
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,314
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,575
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,1262
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,1307
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,469
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,332
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,808
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,1673
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,1079
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,751
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,372
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,330
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,3171
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,2022
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,845
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,979
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,523
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,398
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,546
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,650
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,404
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,388
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,663
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,787
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,272
