end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,2476
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,1622
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,1398
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,1459
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,1350
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,1624
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,2266
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1942
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,1468
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,1521
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,1114
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,1396
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,1542
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,1059
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,1362
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,1463
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,1959
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,2706
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,1870
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,5405
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,2041
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,1436
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,1325
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,2132
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,1467
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,1634
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,2527
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,2190
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,1715
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,1900
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,1953
