end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,69
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,91
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,111
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,34
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,48
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,38
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,54
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1264
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,1541
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,618
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,403
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,239
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,127
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,91
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,106
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,91
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,145
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,53
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,47
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,58
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,75
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,75
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,63
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,96
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,59
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,116
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,34
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,502
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,191
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,77
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,2180
