end,start,tweet_count
2022-09-01T00:00:00.000Z,2022-08-31T00:00:00.000Z,2861
2022-09-02T00:00:00.000Z,2022-09-01T00:00:00.000Z,717
2022-09-03T00:00:00.000Z,2022-09-02T00:00:00.000Z,64462
2022-09-04T00:00:00.000Z,2022-09-03T00:00:00.000Z,37746
2022-09-05T00:00:00.000Z,2022-09-04T00:00:00.000Z,10358
2022-09-06T00:00:00.000Z,2022-09-05T00:00:00.000Z,4139
2022-09-07T00:00:00.000Z,2022-09-06T00:00:00.000Z,2499
2022-09-08T00:00:00.000Z,2022-09-07T00:00:00.000Z,1189
2022-09-09T00:00:00.000Z,2022-09-08T00:00:00.000Z,1345
2022-09-10T00:00:00.000Z,2022-09-09T00:00:00.000Z,3453
2022-09-11T00:00:00.000Z,2022-09-10T00:00:00.000Z,1687
2022-09-12T00:00:00.000Z,2022-09-11T00:00:00.000Z,643
2022-09-13T00:00:00.000Z,2022-09-12T00:00:00.000Z,802
2022-09-14T00:00:00.000Z,2022-09-13T00:00:00.000Z,1466
2022-09-15T00:00:00.000Z,2022-09-14T00:00:00.000Z,1646
2022-09-16T00:00:00.000Z,2022-09-15T00:00:00.000Z,1746
2022-09-17T00:00:00.000Z,2022-09-16T00:00:00.000Z,1090
2022-09-18T00:00:00.000Z,2022-09-17T00:00:00.000Z,710
2022-09-19T00:00:00.000Z,2022-09-18T00:00:00.000Z,521
2022-09-20T00:00:00.000Z,2022-09-19T00:00:00.000Z,12466
2022-09-21T00:00:00.000Z,2022-09-20T00:00:00.000Z,11536
2022-09-22T00:00:00.000Z,2022-09-21T00:00:00.000Z,3503
2022-09-23T00:00:00.000Z,2022-09-22T00:00:00.000Z,1102
2022-09-24T00:00:00.000Z,2022-09-23T00:00:00.000Z,1427
2022-09-25T00:00:00.000Z,2022-09-24T00:00:00.000Z,7333
2022-09-26T00:00:00.000Z,2022-09-25T00:00:00.000Z,6536
2022-09-27T00:00:00.000Z,2022-09-26T00:00:00.000Z,4219
2022-09-28T00:00:00.000Z,2022-09-27T00:00:00.000Z,3747
2022-09-29T00:00:00.000Z,2022-09-28T00:00:00.000Z,1577
2022-09-30T00:00:00.000Z,2022-09-29T00:00:00.000Z,829
2022-10-01T00:00:00.000Z,2022-09-30T00:00:00.000Z,1719
